(current_cut)_Total_COIN_Triggers,(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_3/4_Triggers,Accepted_COIN_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM2_Beam_Cut_Charge,BCM2_Beam_Cut_Current,BCM2_Charge,BCM2_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,COIN_CPULT,COIN_CPULT_ERROR,COIN_Trigger_Rate,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_COIN_Elec_Eff,HMS_Cal_COIN_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_COIN_Elec_Eff,HMS_Cer_COIN_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff,HMS_Cer_SING_Elec_Eff_ERROR,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_COIN_TRACK_EFF,HMS_Elec_COIN_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF,HMS_Elec_SING_TRACK_EFF_ERROR,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,Pre-Scaled_COIN_Triggers,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_3/4_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_3/4_Trigger_Rate,SHMS_Aero_ALL_Prot_Eff,SHMS_Aero_ALL_Prot_Eff_ERROR,SHMS_Aero_COIN_Prot_Eff,SHMS_Aero_COIN_Prot_Eff_ERROR,SHMS_Aero_SING_Prot_Eff,SHMS_Aero_SING_Prot_Eff_ERROR,SHMS_Angle,SHMS_CPULT,SHMS_CPULT_ERROR,SHMS_HGC_ALL_Prot_Eff,SHMS_HGC_ALL_Prot_Eff_ERROR,SHMS_HGC_COIN_Prot_Eff,SHMS_HGC_COIN_Prot_Eff_ERROR,SHMS_HGC_SING_Prot_Eff,SHMS_HGC_SING_Prot_Eff_ERROR,SHMS_Hadron_ALL_TRACK_EFF,SHMS_Hadron_ALL_TRACK_EFF_ERROR,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Prot_ALL_TRACK_EFF,SHMS_Prot_ALL_TRACK_EFF_ERROR,SHMS_Prot_COIN_TRACK_EFF,SHMS_Prot_COIN_TRACK_EFF_ERROR,SHMS_Prot_SING_TRACK_EFF,SHMS_Prot_SING_TRACK_EFF_ERROR,SHMS_Run_Length,Target_Mass_(amu),Total_COIN_Triggers,Total_HMS_EL-REAL_Triggers,Total_SHMS_3/4_Triggers
8541.0,58774.0,2554428.0,9780.0,59896.0,1277235.0,33.244,52.421,33.256,43.839,634.184,632.183,9.176808,0.998,0.0005,0.014,7543.0,23.75,0.9972,0.0003,0.9924,0.0006,0.9969,0.0013,0.9919,0.0007,0.9979,0.0003,0.9979,0.001,0.9979,0.0004,0.093,0.9971,0.0005,0.9972,0.0013,0.9971,0.0005,0.997556,0.762747,0.998154,0.99725,0.994006,0.770886,0.999995,0.998627,64.288,40770461.0,5.015,0.000511,634.184,0.9973,0.9973,0.0005,0.0005,0.0,0.0,2556624.0,1.0,1.0,1.0,0.0,0.0,1.0,11829.0,4.041,0.2847,0.0034,0.4289,0.0117,0.2678,0.0036,23.79,0.4996,0.0003,0.8885,0.0042,0.9885,0.0038,0.872,0.0049,0.7762,0.0014,0.918621,0.509865,0.981304,0.975163,0.816498,0.652558,0.999536,0.936244,160.171,101257117.0,5.015,0.938272,0.9901,0.0016,0.9947,0.0026,0.989,0.0018,632.183,1.007276,8541.0,58774.0,2554428.0
12483.0,87933.0,3872408.0,15640.0,91208.0,1945631.0,50.383,54.492,50.411,40.863,924.588,918.535,9.176808,1.0011,0.0,0.014,12306.0,23.75,1.0009,0.0003,0.993,0.0005,0.9972,0.001,0.9927,0.0006,0.9975,0.0003,0.9979,0.0008,0.9975,0.0003,0.096,0.9974,0.0003,0.9985,0.0008,0.9973,0.0004,0.998059,0.764915,0.999081,0.997725,0.994748,0.771416,0.999998,0.998799,66.723,61691447.0,5.015,0.000511,924.588,1.0013,1.0013,0.0,0.0,0.0,0.0,3877304.0,1.0,1.0,1.0,0.0,0.0,1.0,11830.0,4.216,0.2866,0.0028,0.4157,0.0093,0.2712,0.0029,23.79,0.5018,0.0003,0.8849,0.0035,0.9966,0.0017,0.867,0.004,0.7766,0.0012,0.918138,0.508184,0.982028,0.975673,0.814635,0.651073,0.999563,0.935321,166.391,152836068.0,5.015,0.938272,0.9889,0.0014,0.9964,0.0018,0.9872,0.0016,918.535,1.007276,12483.0,87933.0,3872408.0
8810.0,53344.0,2244182.0,17625.0,62168.0,1133186.0,29.609,42.03,29.674,18.877,704.473,686.361,9.176808,0.9997,0.0001,0.013,15663.0,23.75,0.9984,0.0003,0.9938,0.0006,0.997,0.0013,0.9934,0.0007,0.9985,0.0003,0.9982,0.001,0.9985,0.0003,0.078,0.9976,0.0004,0.9981,0.0011,0.9976,0.0005,0.997714,0.76448,0.998701,0.997818,0.993508,0.772162,0.999997,0.998521,51.634,36374475.0,5.015,0.000511,704.473,0.9996,0.9996,0.0001,0.0001,0.0,0.0,2256104.0,1.0,1.0,1.0,0.0,0.0,1.0,11831.0,3.27,0.281,0.0037,0.4428,0.0126,0.2625,0.0038,23.79,0.5023,0.0003,0.8835,0.0046,0.9928,0.0032,0.865,0.0053,0.7736,0.0015,0.919783,0.512316,0.982288,0.975164,0.817763,0.654024,0.99956,0.93695,131.296,90116563.0,5.015,0.938272,0.9881,0.0019,0.997,0.0021,0.9859,0.0023,686.361,1.007276,8810.0,53344.0,2244182.0
20086.0,72326.0,2478925.0,21049.0,73336.0,1250809.0,34.529,19.352,34.536,18.423,1784.276,1778.269,9.176808,1.0002,0.0,0.011,18686.0,23.75,1.0004,0.0003,0.9929,0.0006,0.9976,0.0011,0.9924,0.0007,0.9987,0.0003,0.9995,0.0005,0.9986,0.0003,0.041,0.9976,0.0004,0.9979,0.0011,0.9975,0.0004,0.998596,0.781421,0.999725,0.999183,0.994528,0.786579,1.0,0.998832,24.036,42887645.0,5.015,0.000511,1784.276,1.0003,1.0003,0.0,0.0,0.0,0.0,2480646.0,1.0,1.0,1.0,0.0,0.0,1.0,11833.0,1.394,0.2844,0.0034,0.4454,0.0112,0.2646,0.0035,23.79,0.5042,0.0003,0.8854,0.0042,0.9954,0.0023,0.8656,0.0049,0.7763,0.0014,0.920991,0.512093,0.984793,0.978508,0.816225,0.651073,0.999673,0.935876,59.651,106076247.0,5.015,0.938272,0.9912,0.0014,0.994,0.0027,0.9905,0.0017,1778.269,1.007276,20086.0,72326.0,2478925.0
4490.0,16269.0,561273.0,5597.0,17389.0,284056.0,7.826,19.693,7.834,15.409,397.388,397.388,9.176808,1.0002,0.0,0.011,5068.0,23.75,1.0004,0.0007,0.993,0.0013,0.9978,0.0022,0.9924,0.0014,0.9986,0.0006,1.0,0.0,0.9984,0.0006,0.041,0.9973,0.0009,1.0,0.0,0.9969,0.001,0.998774,0.765733,0.999517,0.999518,0.99565,0.76982,1.0,0.998999,24.508,9739371.0,5.015,0.000511,397.388,1.0003,1.0003,0.0,0.0,0.0,0.0,562561.0,1.0,1.0,1.0,0.0,0.0,1.0,11834.0,1.412,0.2838,0.007,0.3814,0.0229,0.2717,0.0074,23.79,0.5049,0.0007,0.8734,0.0091,0.9942,0.0058,0.8554,0.0103,0.7772,0.0029,0.923661,0.517719,0.985686,0.978878,0.820695,0.653801,0.999698,0.937925,60.551,24062215.0,5.015,0.938272,0.9947,0.0024,1.0,0.0,0.9935,0.0029,397.388,1.007276,4490.0,16269.0,561273.0
2106.0,7586.0,260639.0,2108.0,7591.0,131405.0,3.632,19.583,3.632,19.583,185.479,185.479,9.176808,1.0009,0.0,0.011,1849.0,23.75,1.0007,0.001,0.9956,0.0015,1.0,0.0,0.9956,0.0016,0.9995,0.0005,1.0,0.0,0.9994,0.0006,0.041,0.9982,0.0011,0.995,0.005,0.9986,0.001,0.998443,0.776,0.999481,1.0,0.993398,0.781563,1.0,0.998558,24.224,4493057.0,5.015,0.000511,185.479,1.0005,1.0005,0.0,0.0,0.0,0.0,260639.0,1.0,1.0,1.0,0.0,0.0,1.0,11835.0,1.405,0.2986,0.0106,0.4516,0.0338,0.2785,0.011,23.79,0.5042,0.001,0.8665,0.0134,0.98,0.014,0.8456,0.0155,0.7795,0.0042,0.919708,0.50767,0.983589,0.978888,0.816743,0.645579,0.999654,0.93505,60.208,11167376.0,5.015,0.938272,0.991,0.0045,1.0,0.0,0.9884,0.0058,185.479,1.007276,2106.0,7586.0,260639.0
2469.0,7463.0,246091.0,3089.0,8089.0,124969.0,9.568,39.349,9.577,31.36,243.162,243.162,9.176808,1.0,0.0,0.01,3043.0,23.75,0.9999,0.001,0.9811,0.0031,0.9714,0.0282,0.9812,0.0031,0.9995,0.0005,1.0,0.0,0.9995,0.0005,0.031,0.9968,0.0014,1.0,0.0,0.9967,0.0015,0.998091,0.765291,0.999434,0.999428,0.992798,0.771721,1.0,0.998356,18.476,4492768.0,5.015,0.000511,243.162,1.0,1.0,0.0,0.0,0.0,0.0,246919.0,1.0,1.0,1.0,0.0,0.0,1.0,11836.0,1.012,0.3392,0.0091,0.5667,0.0905,0.3366,0.0092,23.79,0.5061,0.001,0.9411,0.0076,1.0,0.0,0.9401,0.0077,0.8244,0.0039,0.957105,0.62445,0.98715,0.978553,0.88048,0.734194,0.999724,0.968231,47.664,11590005.0,5.015,0.938272,0.9912,0.0028,1.0,0.0,0.9911,0.0028,243.162,1.007276,2469.0,7463.0,246091.0
5594.0,16824.0,546317.0,5594.0,16826.0,275969.0,21.226,38.35,21.226,38.35,553.479,553.479,9.176808,1.0,0.0,0.01,5517.0,23.75,1.0001,0.0007,0.9826,0.002,1.0,0.0,0.9823,0.002,0.9988,0.0005,1.0,0.0,0.9988,0.0006,0.03,0.9976,0.0008,1.0,0.0,0.9976,0.0008,0.99789,0.763017,0.999743,0.997215,0.993913,0.770031,0.999999,0.9986,18.095,10015309.0,5.015,0.000511,553.479,1.0002,1.0002,0.0,0.0,0.0,0.0,546317.0,1.0,1.0,1.0,0.0,0.0,1.0,11838.0,0.987,0.3337,0.006,0.34,0.067,0.3337,0.006,23.79,0.5051,0.0007,0.9428,0.005,1.0,0.0,0.9424,0.005,0.8254,0.0026,0.957101,0.624313,0.987762,0.978008,0.880494,0.733975,0.999731,0.968208,46.445,25706476.0,5.015,0.938272,0.9924,0.0017,0.913,0.0588,0.9932,0.0017,553.479,1.007276,5594.0,16824.0,546317.0
3738.0,18213.0,696986.0,3724.0,18148.0,348773.0,6.783,29.558,6.783,29.558,229.483,310.886,9.176808,0.9963,0.001,0.012,3084.0,23.75,0.9964,0.0006,0.9938,0.0011,0.9946,0.0031,0.9937,0.0012,0.9986,0.0005,1.0,0.0,0.9985,0.0006,0.059,0.9985,0.0006,0.996,0.0028,0.9989,0.0006,0.998091,0.770162,1.0,0.998414,0.993061,0.776775,1.0,0.998451,36.315,8333673.0,5.015,0.000511,229.483,0.9955,0.9955,0.0012,0.0012,0.0,0.0,696986.0,1.0,1.0,1.0,0.0,0.0,1.0,11839.0,2.242,0.2859,0.0066,0.4425,0.0217,0.2666,0.0068,23.79,0.5004,0.0006,0.8806,0.0083,0.9914,0.006,0.8609,0.0096,0.7767,0.0027,0.920067,0.510087,0.985485,0.975093,0.817922,0.648988,0.999638,0.936089,94.088,29250514.0,5.015,0.938272,0.9913,0.0027,0.9955,0.0045,0.9903,0.0032,310.886,1.007276,3738.0,18213.0,696986.0
4947.0,29131.0,1196650.0,8425.0,32662.0,605045.0,15.991,40.345,16.021,21.746,396.361,388.299,9.176808,1.0007,0.0,0.013,7344.0,23.75,1.0007,0.0005,0.9956,0.0007,0.9979,0.0015,0.9955,0.0008,0.9979,0.0005,0.9968,0.0019,0.9981,0.0005,0.075,0.9981,0.0005,1.0,0.0,0.9979,0.0006,0.998567,0.778895,0.999274,0.998237,0.995882,0.784067,0.999999,0.999111,49.733,19712168.0,5.015,0.000511,396.361,1.0008,1.0008,0.0,0.0,0.0,0.0,1201762.0,1.0,1.0,1.0,0.0,0.0,1.0,11840.0,3.082,0.2721,0.0049,0.4208,0.0167,0.2545,0.0051,23.79,0.5035,0.0005,0.8815,0.0064,0.9919,0.0046,0.8627,0.0074,0.7789,0.002,0.921024,0.513429,0.983498,0.978231,0.816764,0.653384,0.999641,0.936488,125.963,48911134.0,5.015,0.938272,0.9854,0.0027,0.9888,0.0056,0.9847,0.0031,388.299,1.007276,4947.0,29131.0,1196650.0
9330.0,64959.0,2823910.0,9586.0,65268.0,1417038.0,33.843,53.485,33.844,51.684,632.754,685.586,9.176808,1.0018,0.0,0.014,7084.0,23.75,1.0009,0.0003,0.9942,0.0005,0.9991,0.0006,0.9937,0.0006,0.998,0.0003,0.9991,0.0007,0.9978,0.0004,0.095,0.9973,0.0004,0.9985,0.0009,0.9971,0.0005,0.997961,0.772494,0.999379,0.997868,0.993549,0.779655,0.999999,0.998579,65.659,41545793.0,5.015,0.000511,632.754,1.0018,1.0018,0.0,0.0,0.0,0.0,2824507.0,1.0,1.0,1.0,0.0,0.0,1.0,11841.0,4.119,0.2773,0.0032,0.3997,0.0108,0.2628,0.0034,23.79,0.5017,0.0003,0.8853,0.0041,0.9939,0.0027,0.8682,0.0047,0.7748,0.0014,0.918009,0.509271,0.981405,0.975867,0.813,0.654064,0.999551,0.93531,165.187,113249661.0,5.015,0.938272,0.9933,0.0012,1.0,0.0,0.9918,0.0015,685.586,1.007276,9330.0,64959.0,2823910.0
5765.0,34358.0,1445416.0,9614.0,38183.0,727555.0,19.112,42.348,19.165,22.875,451.304,450.818,9.176808,0.9995,0.0002,0.013,8345.0,23.75,0.9978,0.0004,0.9936,0.0008,0.9982,0.0013,0.9931,0.0009,0.9972,0.0005,1.0,0.0,0.9969,0.0006,0.076,0.9974,0.0006,0.999,0.001,0.9972,0.0006,0.998018,0.758833,0.999191,0.998086,0.994318,0.765252,0.999998,0.998666,52.162,23540914.0,5.015,0.000511,451.304,0.9991,0.9991,0.0002,0.0002,0.0,0.0,1450895.0,1.0,1.0,1.0,0.0,0.0,1.0,11842.0,3.206,0.2817,0.0045,0.4386,0.0153,0.2626,0.0047,23.79,0.5015,0.0004,0.8898,0.0056,1.0,0.0,0.8704,0.0065,0.7751,0.0019,0.918382,0.507128,0.983367,0.976192,0.814786,0.64837,0.999604,0.934873,129.462,58363629.0,5.015,0.938272,0.9908,0.002,0.9978,0.0022,0.9891,0.0024,450.818,1.007276,5765.0,34358.0,1445416.0
8837.0,62103.0,2687110.0,9194.0,62420.0,1346036.0,35.283,54.229,35.285,51.531,650.62,648.616,9.176808,0.9998,0.0002,0.014,6821.0,23.75,0.9993,0.0003,0.9944,0.0005,0.999,0.0007,0.9939,0.0006,0.9982,0.0003,0.9995,0.0005,0.9981,0.0003,0.096,0.998,0.0004,0.9989,0.0008,0.9978,0.0004,0.997923,0.773372,0.998802,0.998076,0.993708,0.780705,0.999998,0.99862,66.745,43425728.0,5.015,0.000511,650.62,0.9995,0.9995,0.0003,0.0003,0.0,0.0,2687611.0,1.0,1.0,1.0,0.0,0.0,1.0,11843.0,4.143,0.2811,0.0034,0.438,0.0113,0.2622,0.0035,23.79,0.5008,0.0003,0.8783,0.0043,0.9907,0.0033,0.8585,0.005,0.776,0.0014,0.916815,0.506896,0.980933,0.973419,0.814206,0.651997,0.999493,0.935343,165.673,107458026.0,5.015,0.938272,0.9889,0.0016,0.9939,0.0027,0.9877,0.0019,648.616,1.007276,8837.0,62103.0,2687110.0
11094.0,67874.0,2853924.0,13405.0,70258.0,1435242.0,37.81,44.185,37.842,34.957,855.728,851.695,9.176808,1.0009,0.0,0.013,10795.0,23.75,1.0008,0.0003,0.9938,0.0006,0.9978,0.001,0.9933,0.0006,0.9974,0.0004,0.9991,0.0006,0.9973,0.0004,0.08,0.9971,0.0004,0.9966,0.0013,0.9971,0.0005,0.997861,0.764388,0.999049,0.998352,0.993281,0.771563,0.999998,0.998465,54.655,46769712.0,5.015,0.000511,855.728,1.0008,1.0008,0.0,0.0,0.0,0.0,2857475.0,1.0,1.0,1.0,0.0,0.0,1.0,11844.0,3.351,0.286,0.0032,0.4273,0.0107,0.2685,0.0034,23.79,0.5023,0.0003,0.888,0.004,0.9967,0.0019,0.8693,0.0046,0.7777,0.0013,0.919714,0.51125,0.982284,0.975738,0.818086,0.652024,0.99957,0.936698,135.51,115413638.0,5.015,0.938272,0.9916,0.0014,0.9966,0.002,0.9904,0.0016,851.695,1.007276,11094.0,67874.0,2853924.0
6212.0,11122.0,4235870.0,9094.0,14001.0,1411963.0,28.217,47.543,28.247,32.007,593.51,591.507,9.176808,0.9981,0.0005,0.011,8776.0,31.645,0.9973,0.0002,0.9892,0.0025,1.0,0.0,0.9871,0.003,0.9982,0.001,1.0,0.0,0.9978,0.0013,0.019,0.9985,0.0011,0.996,0.004,0.9991,0.0009,0.998004,0.756824,0.999439,0.997812,0.994357,0.763217,0.999999,0.998664,34.509,20481502.0,3.738,0.000511,593.51,0.997,0.997,0.0005,0.0005,0.0,0.0,2120444.0,2.0,1.0,1.0,0.0,0.0,1.0,11847.0,7.161,0.2583,0.0037,0.3246,0.0286,0.257,0.0037,18.125,0.3329,0.0002,0.8601,0.0054,1.0,0.0,0.857,0.0055,0.7513,0.0015,0.894541,0.457585,0.977076,0.970894,0.785397,0.614161,0.999333,0.917198,234.373,138633519.0,6.265,0.938272,0.9822,0.0028,1.0,0.0,0.9815,0.0029,591.507,1.007276,6212.0,11122.0,4235870.0
4461.0,9334.0,4244362.0,4435.0,9287.0,1408668.0,11.365,64.522,11.365,64.522,176.143,418.929,9.176808,0.9942,0.0011,0.011,4147.0,31.645,0.995,0.0002,0.9901,0.0025,0.9958,0.0042,0.9892,0.0028,0.9981,0.0011,1.0,0.0,0.9978,0.0013,0.022,0.9976,0.0014,1.0,0.0,0.9971,0.0017,0.997591,0.755137,1.0,0.997175,0.992713,0.762835,1.0,0.998272,46.783,8240444.0,3.738,0.000511,176.143,0.9933,0.9933,0.0013,0.0013,0.0,0.0,2122181.0,2.0,1.0,1.0,0.0,0.0,1.0,11848.0,10.131,0.259,0.0038,0.2882,0.0299,0.2585,0.0038,18.125,0.3319,0.0002,0.8604,0.0055,0.9851,0.0148,0.8583,0.0055,0.7545,0.0015,0.893795,0.457047,0.974444,0.969954,0.787509,0.614041,0.999232,0.917987,320.601,134309218.0,6.265,0.938272,0.9803,0.003,1.0,0.0,0.9798,0.0031,418.929,1.007276,4461.0,9334.0,4244362.0
7878.0,16024.0,7229630.0,8040.0,16182.0,1450274.0,46.913,63.282,46.914,62.107,741.322,739.318,9.176808,1.0004,0.0,0.011,7538.0,31.645,0.9999,0.0001,0.9895,0.002,1.0,0.0,0.988,0.0023,0.9981,0.0008,1.0,0.0,0.9977,0.001,0.022,0.9976,0.0011,0.9973,0.0027,0.9977,0.0012,0.998127,0.758821,0.999662,0.998626,0.993772,0.764886,1.0,0.998536,46.155,34215767.0,3.738,0.000511,741.322,1.0014,1.0014,0.0,0.0,0.0,0.0,2409973.0,3.0,1.0,1.0,0.0,0.0,1.0,11849.0,9.779,0.2564,0.0037,0.346,0.0239,0.2536,0.0037,18.125,0.2006,0.0001,0.8558,0.0054,1.0,0.0,0.8507,0.0056,0.7543,0.0015,0.895629,0.461886,0.976147,0.969879,0.786507,0.620297,0.999282,0.918936,309.456,228786308.0,6.265,0.938272,0.985,0.0026,0.993,0.007,0.9844,0.0027,739.318,1.007276,7878.0,16024.0,7229630.0
6352.0,12594.0,5396797.0,8082.0,14336.0,1085661.0,35.051,58.784,35.084,36.004,596.266,596.266,9.176808,1.0004,0.0,0.011,7669.0,31.645,0.8746,0.0002,0.9905,0.0021,1.0,0.0,0.9886,0.0025,0.9976,0.0011,1.0,0.0,0.9971,0.0013,0.021,0.9975,0.0012,0.9967,0.0033,0.9977,0.0013,0.997474,0.752863,0.999569,0.999143,0.990752,0.76087,1.0,0.997789,43.102,25700269.0,3.738,0.000511,596.266,0.8283,0.8283,0.0033,0.0033,0.0,0.0,1799823.0,3.0,1.0,1.0,0.0,0.0,1.0,11850.0,9.051,0.2515,0.0042,0.3689,0.0266,0.2477,0.0043,18.125,0.2011,0.0002,0.8577,0.0063,1.0,0.0,0.8522,0.0065,0.7486,0.0017,0.89489,0.459186,0.976817,0.970011,0.78611,0.616476,0.999305,0.917968,287.637,171507885.0,6.265,0.938272,0.9817,0.0034,1.0,0.0,0.9804,0.0036,596.266,1.007276,6352.0,12594.0,5396797.0
